23
N,1,0000001,XYZ,L,S,323.40,92
N,2,0000002,BNY,L,B,118.47,850
N,3,0000003,MTY,L,B,382.26,70
N,4,0000004,XYZ,L,B,323.40,98
N,5,0000005,BNY,I,S,118.45,1000
N,6,0000006,XYZ,I,B,323.40,30
N,7,0000007,FIC,I,B,104.63,100
N,8,0000008,AB,I,B,104.53,70
N,9,0000009,FIC,L,S,104.63,260
N,10,0000010,FIC,I,S,104.63,670
N,11,0000011,AB,L,S,104.53,40
N,12,0000012,MTY,I,B,382.26,50
N,13,0000013,FIC,L,B,104.63,30
N,14,0000014,MTY,L,S,382.26,150
N,15,0000015,FIC,L,B,104.63,780
N,16,0000016,AB,I,S,104.53,20
M,0000017
N,17,0000018,BNY,L,B,118.47,200
N,18,0000019,BNY,L,S,118.47,300
N,19,0000020,AB,L,S,104.53,40
N,20,0000021,AB,L,B,104.53,30
N,21,0000022,XYZ,L,S,323.40,30
M,0000023
