22
N,32,0000036,BNY,M,S,0.00,150
N,33,0000039,BNY,M,S,0.00,150
N,34,0000040,ASHL,M,S,0.00,140
N,35,0000041,MTY,L,S,2282.26,100
N,36,0000042,ANC,L,B,128.23,100
N,37,0000043,RIL,M,B,0.00,50
N,38,0000044,ASHL,L,S,996.20,200
N,39,0000045,MTY,M,B,0.00,150
N,40,0000046,XYZ,L,B,104.63,80
N,41,0000047,MTY,L,S,2282.26,50
N,42,0000048,ANC,L,B,128.23,100
N,43,0000049,RIL,L,S,109.43,200
N,44,0000050,ASHL,L,B,996.20,70
N,45,0000051,ASHL,L,B,996.20,20
N,46,0000052,XYZ,L,B,104.63,40
N,47,0000053,ASHL,L,B,996.20,190
N,48,0000054,XYZ,M,S,0.00,30
N,49,0000055,ANC,M,S,0.00,150
N,50,0000056,RIL,M,B,0.00,50
N,51,0000057,XYZ,M,S,0.00,90
N,52,0000058,ASHL,L,S,996.20,40
M,0000059
