36
N,1,0000001,AB,L,B,105.53,150
N,2,0000002,AB,L,B,105.53,100
N,3,0000003,AB,L,S,105.63,100
N,4,0000004,XYZ,L,B,323.43,100
N,5,0000005,AB,L,S,105.53,100
A,1,0000006,AB,L,B,105.53,100
N,6,0000007,BNY,L,B,305.53,40
N,7,0000008,RIL,L,B,213.43,100
N,8,0000009,AB,L,B,103.43,100
N,9,0000011,XYZ,L,S,323.43,100
A,4,0000012,XYZ,L,B,323.43,50
N,10,0000013,BNY,L,B,305.53,100
M,0000014
N,11,0000015,RIL,L,B,213.43,100
A,7,0000016,RIL,L,B,213.43,50
N,12,0000017,AB,L,S,105.53,100
N,13,0000019,XYZ,L,B,323.43,25
A,2,00000020,AB,L,B,105.53,50
N,14,0000021,BNY,L,S,305.53,160
N,15,0000022,AB,L,B,105.53,100
A,11,0000023,RIL,L,B,213.43,50
N,16,0000024,RIL,L,S,213.43,200
N,17,0000025,XYZ,L,B,323.43,25
N,18,0000026,XYZ,L,S,330.26,40
M,0000027
N,19,0000028,BNY,L,S,318.27,45
N,20,0000029,XYZ,L,B,330.26,60
N,21,0000030,XYZ,L,S,330.26,10
A,16,0000031,RIL,L,S,213.43,120
A,14,0000032,BNY,L,S,305.53,70
N,23,0000034,BNY,L,S,318.27,90
N,25,0000036,BNY,L,B,318.27,53
N,27,0000039,BNY,L,B,318.27,135
A,19,0000040,BNY,L,S,318.27,120
N,28,0000041,RIL,L,B,213.43,50
M,0000042
